<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MOEX;D;20190228;000000;90.4000000;91.2200000;89.9100000;91.2200000;5820490
MOEX;D;20190301;000000;91.1000000;91.9500000;90.7200000;91.5700000;7745640
MOEX;D;20190304;000000;91.7100000;93.3700000;91.4400000;92.4400000;9692960
MOEX;D;20190305;000000;92.4300000;93.2200000;91.6000000;92.3800000;7908670
MOEX;D;20190306;000000;92.5400000;94.6000000;92.5400000;93.6000000;13234670
MOEX;D;20190307;000000;93.5200000;94.7200000;93.0900000;93.9500000;8668330
MOEX;D;20190311;000000;93.6500000;94.9200000;93.0300000;93.1400000;7557450
MOEX;D;20190312;000000;93.4000000;94.1000000;92.9100000;93.0000000;6406640
MOEX;D;20190313;000000;92.9100000;93.6900000;91.6200000;91.8200000;10082990
MOEX;D;20190314;000000;92.0000000;92.2100000;91.0000000;91.5000000;7142040
MOEX;D;20190315;000000;91.6600000;91.8100000;90.7100000;91.0800000;6697450
MOEX;D;20190318;000000;91.5200000;91.9400000;90.7700000;91.4500000;5726170
MOEX;D;20190319;000000;91.7300000;91.9400000;90.9000000;91.1100000;5744360
MOEX;D;20190320;000000;91.2900000;91.2900000;90.1100000;90.5400000;6142910
MOEX;D;20190321;000000;90.8000000;90.9000000;90.3100000;90.6300000;9195860
MOEX;D;20190322;000000;90.7200000;90.8800000;89.0500000;89.0800000;8471930
MOEX;D;20190325;000000;89.0800000;90.6300000;88.4000000;90.5000000;12906480
MOEX;D;20190326;000000;90.6300000;91.7800000;90.2700000;91.0700000;7156870
MOEX;D;20190327;000000;91.2000000;91.5800000;90.2000000;90.6100000;4950440
MOEX;D;20190328;000000;90.3000000;90.7500000;90.1100000;90.6400000;1957690
MOEX;D;20190329;000000;90.6400000;91.6600000;90.6400000;91.3000000;8156890
MOEX;D;20190401;000000;91.5800000;92.4600000;91.4200000;92.3400000;5988420
MOEX;D;20190402;000000;92.3600000;92.9500000;92.0300000;92.1400000;4941420
MOEX;D;20190403;000000;92.1300000;92.8000000;90.7100000;90.7700000;9511710
MOEX;D;20190404;000000;91.0000000;91.5000000;90.5500000;91.2700000;4267910
MOEX;D;20190405;000000;91.3900000;92.0000000;90.9700000;91.0200000;4290240
MOEX;D;20190408;000000;91.3500000;91.5500000;90.8600000;91.0000000;7604000
MOEX;D;20190409;000000;91.0600000;91.4300000;90.8000000;91.0400000;9223540
MOEX;D;20190410;000000;91.2500000;93.8000000;91.1400000;93.1100000;16328960
MOEX;D;20190411;000000;93.2000000;93.3700000;91.5000000;91.5000000;8428670
MOEX;D;20190412;000000;91.7300000;92.1800000;91.2200000;91.4000000;6478500
MOEX;D;20190415;000000;91.6000000;91.9000000;91.2500000;91.4600000;7388100
MOEX;D;20190416;000000;91.7700000;92.0500000;90.8600000;91.0500000;10992990
MOEX;D;20190417;000000;91.4000000;91.5800000;90.7100000;91.2000000;7842480
MOEX;D;20190418;000000;91.0100000;91.4700000;90.8100000;91.2500000;3534300
MOEX;D;20190419;000000;91.1800000;92.0000000;91.1000000;91.6000000;4332130
MOEX;D;20190422;000000;91.9900000;92.4000000;91.7100000;92.1900000;4891980
MOEX;D;20190423;000000;92.3900000;92.7000000;91.4300000;91.5000000;7773440
MOEX;D;20190424;000000;91.5900000;91.5900000;91.1100000;91.3200000;6128070
MOEX;D;20190425;000000;91.3700000;91.5400000;90.7000000;90.7000000;8379510
MOEX;D;20190426;000000;90.7000000;91.2100000;90.1700000;90.9900000;8264650
MOEX;D;20190429;000000;91.1700000;92.4000000;91.0500000;91.6800000;11685240
MOEX;D;20190430;000000;90.9900000;91.0500000;89.8800000;91.0500000;20078350
MOEX;D;20190502;000000;90.8900000;91.3200000;90.7000000;90.8000000;7603290
MOEX;D;20190503;000000;91.0200000;92.1500000;90.8900000;91.8300000;11359320
MOEX;D;20190506;000000;91.5000000;93.1700000;91.0600000;93.1700000;10773120
MOEX;D;20190507;000000;93.0600000;93.8400000;92.2500000;93.8000000;12158910
MOEX;D;20190508;000000;93.3700000;93.8700000;92.0300000;92.4700000;13423150
MOEX;D;20190510;000000;92.5100000;93.0300000;91.5500000;91.6700000;17973270
MOEX;D;20190513;000000;84.9800000;87.3600000;84.7800000;86.3400000;18765550
MOEX;D;20190514;000000;86.5600000;87.3500000;85.2700000;85.5100000;9910150
MOEX;D;20190515;000000;85.7700000;85.9900000;83.9000000;84.8000000;10511600
MOEX;D;20190516;000000;85.1000000;85.5000000;84.4000000;84.7000000;9409590
MOEX;D;20190517;000000;84.7000000;85.3600000;83.3800000;83.8000000;9584940
MOEX;D;20190520;000000;84.0000000;84.8600000;83.4200000;84.1500000;8359870
MOEX;D;20190521;000000;84.4500000;85.0700000;84.0300000;84.2000000;6448630
MOEX;D;20190522;000000;84.5000000;84.9600000;84.2400000;84.5700000;5439450
MOEX;D;20190523;000000;84.5000000;84.9200000;83.8300000;83.9000000;6098510
MOEX;D;20190524;000000;84.0000000;84.7000000;83.5900000;83.5900000;5680840
MOEX;D;20190527;000000;83.7500000;84.4700000;83.7400000;84.3000000;4242520
MOEX;D;20190528;000000;84.3200000;84.4000000;83.4000000;83.5000000;11528290
MOEX;D;20190529;000000;83.5000000;84.3300000;83.2300000;84.3000000;8145090
MOEX;D;20190530;000000;84.4200000;84.8600000;83.8500000;84.7500000;6763260
MOEX;D;20190531;000000;84.4000000;84.7500000;83.9700000;84.7500000;6405630
MOEX;D;20190603;000000;84.4600000;84.8200000;84.0400000;84.8200000;8794020
MOEX;D;20190604;000000;84.8200000;86.1400000;84.4300000;85.9800000;15132950
MOEX;D;20190605;000000;85.5000000;86.3500000;85.1100000;85.5600000;9293210
MOEX;D;20190606;000000;85.6300000;86.9000000;85.5000000;86.5800000;12711290
MOEX;D;20190607;000000;86.8200000;88.3800000;86.6600000;87.5500000;15136170
MOEX;D;20190610;000000;87.7100000;89.3100000;87.5800000;89.2400000;16117200
MOEX;D;20190611;000000;89.0000000;89.9900000;88.9800000;89.5500000;16186240
MOEX;D;20190613;000000;89.5000000;89.7500000;87.8800000;89.5000000;11846280
MOEX;D;20190614;000000;89.4300000;90.0000000;88.5000000;89.3000000;10396280
MOEX;D;20190617;000000;89.4000000;89.4300000;88.8400000;89.1000000;11649900
MOEX;D;20190618;000000;88.9800000;89.4800000;88.5300000;89.4200000;8753010
MOEX;D;20190619;000000;89.4300000;90.0000000;89.3500000;90.0000000;8752840
MOEX;D;20190620;000000;90.4400000;90.9700000;90.1600000;90.6800000;11351380
MOEX;D;20190621;000000;90.5100000;90.8000000;88.7500000;89.6800000;9802530
MOEX;D;20190624;000000;89.6900000;90.0800000;88.6100000;89.4100000;6072920
MOEX;D;20190625;000000;89.5200000;89.9200000;88.8800000;89.3500000;5152660
MOEX;D;20190626;000000;89.5000000;90.3000000;89.3700000;90.3000000;5138680
MOEX;D;20190627;000000;90.3200000;90.5000000;89.6000000;89.7700000;5167500
MOEX;D;20190628;000000;89.8000000;90.1500000;89.4500000;90.1500000;6732470
MOEX;D;20190701;000000;90.5200000;90.9000000;90.0200000;90.9000000;6983340
MOEX;D;20190702;000000;90.9100000;91.9800000;90.4000000;91.9800000;13526050
MOEX;D;20190703;000000;92.1800000;92.9800000;91.7000000;92.7000000;12691210
MOEX;D;20190704;000000;92.9000000;94.3200000;92.2100000;94.3000000;14948830
MOEX;D;20190705;000000;94.3800000;95.9900000;93.8500000;95.3000000;15303280
MOEX;D;20190708;000000;95.1700000;96.9200000;94.1200000;96.4200000;11350360
MOEX;D;20190709;000000;96.4700000;97.2300000;94.9400000;95.3200000;6905840
MOEX;D;20190710;000000;95.1200000;95.6700000;93.8600000;95.0000000;10463190
MOEX;D;20190711;000000;94.6700000;95.4000000;94.0400000;94.9000000;6043670
MOEX;D;20190712;000000;94.6900000;94.6900000;92.7700000;93.9700000;6877470
MOEX;D;20190715;000000;94.2700000;95.1800000;93.5000000;95.1800000;6888420
MOEX;D;20190716;000000;95.0600000;95.6400000;93.3500000;93.4500000;5852840
MOEX;D;20190717;000000;93.4500000;94.1000000;92.6700000;92.7300000;4913350
MOEX;D;20190718;000000;92.6500000;93.2200000;91.8500000;92.9900000;4767650
MOEX;D;20190719;000000;93.4100000;93.7000000;92.5100000;93.0600000;3611910
MOEX;D;20190722;000000;93.0500000;93.1100000;91.9600000;92.2200000;3301950
MOEX;D;20190723;000000;92.3500000;92.4900000;91.5000000;91.5100000;4107320
MOEX;D;20190724;000000;91.6000000;91.6000000;89.1900000;90.0000000;15616250
MOEX;D;20190725;000000;90.1900000;92.0200000;89.8700000;92.0000000;8145690
MOEX;D;20190726;000000;92.0000000;92.4000000;91.0000000;91.1400000;3992290
MOEX;D;20190729;000000;91.7000000;92.5000000;91.0700000;91.9500000;4668370
MOEX;D;20190730;000000;92.1500000;93.3100000;91.8700000;93.3100000;5317730
MOEX;D;20190731;000000;93.4000000;93.5600000;92.8200000;93.1600000;5806230
MOEX;D;20190801;000000;93.0200000;93.7500000;92.2200000;92.4900000;5899480
MOEX;D;20190802;000000;91.8800000;92.7600000;91.4000000;92.4000000;6997890
MOEX;D;20190805;000000;92.0400000;93.6000000;92.0400000;93.5000000;6881020
MOEX;D;20190806;000000;93.3800000;95.9100000;93.0800000;94.9000000;18334930
MOEX;D;20190807;000000;95.0900000;95.7800000;94.1700000;95.4000000;7766520
MOEX;D;20190808;000000;95.6000000;96.7500000;95.5000000;95.5000000;6175640
MOEX;D;20190809;000000;95.2000000;95.7400000;94.1500000;94.9000000;5818030
MOEX;D;20190812;000000;94.9500000;95.3400000;94.2000000;94.8000000;2887700
MOEX;D;20190813;000000;94.7000000;94.9000000;93.8000000;94.8000000;5246640
MOEX;D;20190814;000000;94.9500000;95.3700000;93.2000000;94.0000000;6320270
MOEX;D;20190815;000000;93.6900000;94.0000000;92.3000000;93.1600000;5010510
MOEX;D;20190816;000000;93.4000000;93.9000000;91.8300000;91.8300000;4237650
MOEX;D;20190819;000000;92.1900000;93.0000000;90.6600000;92.6000000;4305520
MOEX;D;20190820;000000;92.8000000;92.9800000;91.5000000;91.5000000;4099090
MOEX;D;20190821;000000;91.5400000;92.3100000;91.2000000;91.9000000;4589480
MOEX;D;20190822;000000;92.0200000;93.0000000;91.2600000;92.6500000;5584120
MOEX;D;20190823;000000;93.1100000;94.5000000;92.9000000;93.5000000;10349520
MOEX;D;20190826;000000;93.4000000;93.8000000;92.7200000;93.3000000;3211480
MOEX;D;20190827;000000;93.4800000;94.8000000;93.4800000;94.3300000;7843330
MOEX;D;20190828;000000;94.1300000;95.2700000;94.0700000;95.2700000;4385270
MOEX;D;20190829;000000;95.1000000;95.9200000;94.8500000;95.8000000;3870010
MOEX;D;20190830;000000;95.6900000;95.6900000;94.2700000;94.6200000;7383860
MOEX;D;20190902;000000;95.4400000;95.6900000;94.0400000;94.6400000;4048100
MOEX;D;20190903;000000;94.6200000;95.2700000;93.3000000;95.2200000;6978950
